"Station Name","TORONTO CITY CENTRE"
"Province","ONTARIO"
"Latitude","43.63"
"Longitude","-79.40"
"Elevation","76.80"
"Climate Identifier","6158667"
"WMO Identifier","71265"
"TC Identifier","YTZ"

"Legend"
"[Empty]","No Data Available"
"M","Missing"
"E","Estimated"
"A","Accumulated"
"C","Precipitation Occurred; Amount Uncertain"
"L","Precipitation May or May Not Have Occurred"
"F","Accumulated and Estimated"
"N","Temperature Missing but Known to be > 0"
"Y","Temperature Missing but Known to be < 0"
"S","More Than One Occurrence"
"T","Trace"
"*","Data for this day has undergone only preliminary quality checking"
"**","Partner data that is not subject to review by the National Climate Archives."

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2014-01-26","2014","01","26","*","-3.0","","-13.9","","-8.5","","26.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"2014-01-27","2014","01","27","*","-3.1","","-15.4","","-9.3","","27.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"2014-01-28","2014","01","28","*","-11.2","","-17.7","","-14.5","","32.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"2014-01-29","2014","01","29","*","-8.8","","-14.9","","-11.9","","29.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"2014-01-30","2014","01","30","*","-0.4","","-10.0","","-5.2","","23.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"2014-01-31","2014","01","31","*","1.1","","-3.2","","-1.1","","19.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"2014-02-01","2014","02","01","*","1.1","","-2.7","","-0.8","","18.8","","0.0","","","M","","M","13.8","","","","","","<31",""
"2014-02-02","2014","02","02","*","0.9","","-6.0","","-2.6","","20.6","","0.0","","","M","","M","1.3","","","","","","<31",""
"2014-02-03","2014","02","03","*","-3.5","","-10.0","","-6.8","","24.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"2014-02-04","2014","02","04","*","-3.7","","-10.4","","-7.1","","25.1","","0.0","","","M","","M","0.0","","","","","","<31",""
"2014-02-05","2014","02","05","*","-5.0","","-11.6","","-8.3","","26.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"2014-02-06","2014","02","06","*","-6.0","","-13.8","","-9.9","","27.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"2014-02-07","2014","02","07","*","-8.2","","-13.2","","-10.7","","28.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"2014-02-08","2014","02","08","*","-8.7","","-13.6","","-11.2","","29.2","","0.0","","","M","","M","0.0","","","","","","<31",""
"2014-02-09","2014","02","09","*","-7.3","","-13.2","","-10.3","","28.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"2014-02-10","2014","02","10","*","-6.0","","-11.7","","-8.9","","26.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"2014-02-11","2014","02","11","*","-9.0","","-14.7","","-11.9","","29.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"2014-02-12","2014","02","12","*","-6.0","","-14.7","","-10.4","","28.4","","0.0","","","M","","M","0.0","","","","","","<31",""
